ProductName,ProductCode,RegularPrice,HappyPrice,Discount,Link,ImageLink
Samsung SM-A165 LTE Galaxy A16 4 / 128 GREY,Шифра: 60920,"12,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Samsung SM-A065 Galaxy A06 6 / 128 LIGHT BLUE,Шифра: 59815,"10,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Xiaomi Redmi Note 13 Pro 8 / 256GB Lavender Purple,Шифра: 77702,"20,499 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Xiaomi Redmi Note 13 6 / 128GB Midnight Black,Шифра: 77696,"13,499 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Xiaomi Redmi 13 8 / 256GB Pink,Шифра: 78174,"13,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Xiaomi Redmi A3 3 / 64GB Green,Шифра: 77870,"6,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
DOOGEE N55 PRO 6 / 256GB Black,Шифра: 59770,"9,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
DOOGEE N55 4 / 128GB Natural,Шифра: 58905,"5,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Mibro Watch C2 Gray,Шифра: 56504,"2,499 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Power box G-35 Rose,Шифра: 77379,"2,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
